Log Pis Min,AverageReturn_all_train_tasks,Policy log std Min,Policy mu Min,Log Pis Max,VF Loss,Policy log std Mean,Q Predictions Min,Log Pis Std,QF Loss,Policy log std Max,Sample Time (s),V Predictions Max,V Predictions Mean,Number of rollouts total,AverageReturn_all_test_tasks,Number of env steps total,Policy mu Mean,KL Loss,Policy mu Std,Z mean train,Q Predictions Std,Z mean eval,Total Train Time (s),Q Predictions Max,Log Pis Mean,KL Divergence,(Previous) Eval Time (s),Number of train steps total,Epoch,V Predictions Std,Z variance eval,Policy mu Max,Q Predictions Mean,Policy Loss,Epoch Time (s),Policy log std Std,Z variance train,V Predictions Min,Train Time (s)
-8.684559,196.87344395391665,-0.1477428,-0.025734674,-4.3887835,6.547855,-0.10583261,-2.3364666,0.3611414,40.050827,-0.08530594,4.579752585850656,2.2957368,1.3326476,0,195.58939644105402,55453,-0.0041445987,10.010378,0.0075915563,0.014494632,0.21990387,0.008874236,86.00482187280431,-0.79094553,-5.4693956,100.103775,2.656888731988147,22,10,0.21932405,0.0016928071,0.017977966,-1.3753021,-3.8191934,7.359446914866567,0.008252444,0.016189028,0.78157556,0.12280559702776372
-8.491483,197.90402647306286,-0.14442717,-0.023117995,-4.185786,3.0892134,-0.104768746,-3.2136815,0.36462277,40.590412,-0.08555515,4.7223061583936214,3.1001468,1.742167,0,195.62633284523625,60214,-0.0035163972,9.654467,0.006870845,0.013335729,0.2942975,0.002836094,93.51010228949599,-0.9790356,-5.461577,96.54466,2.658729214919731,24,11,0.29473215,0.001856976,0.01560335,-1.791542,-3.3401444,7.503836705349386,0.007732148,0.018217232,0.9933045,0.12280133203603327
-8.769947,197.22079976341752,-0.14853428,-0.020275623,-4.226295,1.1542338,-0.10896656,-4.002874,0.35749373,36.73787,-0.09029863,4.983812161721289,4.0385184,2.255649,0,194.9719047502594,65227,-0.0016805658,9.257381,0.0074897455,0.003217161,0.38273367,0.009447526,101.27786448784173,-1.2381333,-5.471425,92.573814,2.6605000148992985,26,12,0.39512926,0.0021036896,0.018123003,-2.2783856,-2.8369808,7.767555274767801,0.0077484064,0.020991245,1.2433879,0.12324309814721346
-8.116859,197.17295586072856,-0.1577145,-0.01940901,-4.452318,1.2052797,-0.11752323,-4.6482477,0.34072232,38.16472,-0.09530771,4.483020059531555,4.7539973,2.7967167,0,195.4952295315636,69736,0.00092866935,8.760631,0.00938803,0.013354132,0.4729332,0.027315427,108.54082830599509,-1.4303685,-5.4614983,87.6063,2.661052948795259,28,13,0.5030231,0.0023905262,0.028174238,-2.7341905,-2.4596913,7.2651764722540975,0.008595282,0.02456579,1.5028726,0.12110346392728388
-8.619732,199.60039660174357,-0.18126175,-0.02040446,-4.3275805,1.9433812,-0.1287987,-5.2129445,0.34356615,39.26539,-0.10219593,4.538012069649994,6.136972,3.2145083,0,202.17205959533578,74301,0.0028255382,8.285924,0.01023091,0.03753122,0.5187914,0.03055097,115.85271520889364,-1.5241463,-5.4696054,82.85924,2.6592403179965913,30,14,0.5624907,0.0027961582,0.029134622,-2.9677763,-2.3845532,7.322686289669946,0.009730843,0.02879041,1.7043461,0.12543390202336013
-8.963284,202.56964307560486,-0.19536142,-0.02287459,-4.507726,2.0252018,-0.13984656,-4.9756646,0.32980758,38.77352,-0.10956859,4.737418086035177,6.087759,3.4075317,0,199.48652662118178,79077,0.0035376542,7.737752,0.009093813,0.04181575,0.5239084,0.024336994,123.37011438794434,-1.5383689,-5.4713435,77.37752,2.6487880058120936,32,15,0.5820627,0.003351488,0.03248819,-2.9528885,-2.5132892,7.511233200784773,0.010733324,0.033812486,1.8082981,0.1250271089375019
-8.735803,203.51120536894473,-0.20487677,-0.020866323,-4.543621,1.4904077,-0.14804594,-5.0861173,0.32755062,37.711487,-0.11509681,4.686350094852969,5.5916386,3.3826866,0,200.1487591948915,83785,0.0038169492,7.162993,0.009888556,0.032991625,0.49513555,0.008276759,130.8314870968461,-1.4361936,-5.4776144,71.62993,2.655374536057934,34,16,0.5883116,0.0040046615,0.033943426,-2.7579134,-2.7832239,7.464657887816429,0.011646676,0.040606234,1.7805349,0.12293325690552592
-9.061684,202.80120912388696,-0.20620732,-0.035263855,-4.525272,1.0022917,-0.15091679,-4.729883,0.32430685,35.744644,-0.117594205,4.703902611276135,5.3241224,3.2195992,0,201.25656471823277,88546,0.0038763816,6.5802064,0.014342884,0.01003725,0.46260527,0.013384265,138.36853060033172,-1.3060126,-5.4566307,65.80206,2.6524077621288598,36,17,0.5592003,0.004799625,0.03427938,-2.4872916,-3.0431314,7.480895067565143,0.011685372,0.050489135,1.6965852,0.1245846941601485
-8.327223,203.4555024784467,-0.19710664,-0.05252722,-4.6040893,0.8457641,-0.14820525,-4.158519,0.32529572,38.500984,-0.11743571,4.7148983522783965,5.090135,3.053146,0,201.01809261272513,93300,0.0025612973,5.9744654,0.017955037,0.018716693,0.42558262,0.01113989,145.905228004558,-1.1624985,-5.459104,59.74465,2.709098334889859,38,18,0.508707,0.0057613114,0.029442905,-2.2394044,-3.282318,7.548824651166797,0.010681126,0.06086837,1.6210123,0.12482796399854124
-8.384696,204.77774672369205,-0.19412616,-0.0532518,-4.539836,0.9847897,-0.14312942,-3.9079192,0.3201249,37.776672,-0.11828431,4.868426447734237,4.98875,2.947939,0,200.38822402714084,98186,0.0013276886,5.4172974,0.01752334,0.01487075,0.40651563,0.010615816,153.6097210641019,-1.100661,-5.458026,54.172974,2.697357454802841,40,19,0.48719493,0.007077562,0.02706046,-2.0615234,-3.43922,7.687171382363886,0.009649436,0.074331604,1.5798546,0.12138747982680798
-9.39578,203.85238463132703,-0.17431562,-0.04281697,-4.493719,1.1192374,-0.13379556,-3.593228,0.32998365,37.582375,-0.11181109,4.460232981946319,4.8882957,2.9065514,0,200.30951995580125,102667,0.00042621745,4.8380904,0.013122311,0.01609257,0.3880499,0.016967757,160.88740027998574,-0.99269915,-5.478696,48.380905,2.7150123750325292,42,20,0.47273058,0.008587175,0.021391986,-1.9102652,-3.5771148,7.2971733240410686,0.008538055,0.08901071,1.5756094,0.12192796706221998
-10.926951,203.01458843946233,-0.16608264,-0.032860044,-4.353015,1.1286627,-0.12703338,-3.6649313,0.34784403,39.12029,-0.105226465,4.796329642180353,5.18865,2.9252415,0,199.38972545284582,107477,-0.0006043327,4.34169,0.009758753,0.021731092,0.3954249,0.02206026,168.49435665877536,-0.97120273,-5.4701257,43.4169,2.6959926378913224,44,21,0.4831156,0.010259868,0.019898424,-1.8534981,-3.5927281,7.613743184134364,0.008380754,0.099350184,1.5679752,0.12142090406268835
-8.428887,199.37887883690223,-0.16504249,-0.01912301,-4.510788,0.9590534,-0.1237315,-3.8303654,0.336028,38.20501,-0.10168112,4.6445106798782945,5.181938,3.0503993,0,199.72250567031818,112112,-0.0002027601,3.8782609,0.008066485,0.028343568,0.4111372,0.025001757,175.95695063844323,-0.91122967,-5.4632726,38.782608,2.689516113838181,46,22,0.49994066,0.012091157,0.021360574,-1.8518913,-3.561614,7.456637556664646,0.008345194,0.12511317,1.6504385,0.1226107629481703
-9.055466,199.85325123148937,-0.16470659,-0.024649555,-4.326013,0.8653793,-0.12357001,-3.7473373,0.3448342,36.181496,-0.10203459,4.7193989106453955,5.9820046,3.1857252,0,203.03627700234657,116858,0.00018750051,3.497442,0.008172347,0.031238835,0.43216616,0.025512073,183.49421637575142,-0.96422106,-5.4670215,34.97442,2.69597086799331,48,23,0.53783274,0.014108144,0.020832386,-1.9048219,-3.4889235,7.5391023985575885,0.008369079,0.13506798,1.6930658,0.12373261991888285
-8.594842,199.59150760072487,-0.16400163,-0.026979182,-4.4191675,0.82951546,-0.12582439,-4.1482596,0.33947283,37.78493,-0.104935795,4.3699161417316645,5.5506263,3.3227625,0,201.51048965943454,121250,0.0009758524,3.094238,0.009899976,0.033283845,0.47260758,0.038354356,190.67157713789493,-0.96254206,-5.4744906,30.942379,2.6945445199962705,50,24,0.573802,0.016404022,0.024192622,-1.9799665,-3.4140365,7.190767517546192,0.008361402,0.16978727,1.71606,0.12630685581825674
-8.252047,201.0813547549699,-0.17485084,-0.027979681,-4.5544386,0.9455298,-0.12967509,-4.8281193,0.33308914,35.511005,-0.10817425,4.6978631464298815,6.1887174,3.493295,0,202.15706431872687,125971,0.00046591554,2.710633,0.011341627,0.04787065,0.5261908,0.036886517,198.1646425263025,-0.9156872,-5.4692383,27.10633,2.681579302996397,52,25,0.6094357,0.01831305,0.025296858,-2.0992765,-3.2857268,7.5022564304526895,0.00852523,0.19440904,1.7910097,0.12281398102641106
